Code,Course Title ,Semester,Term,Program,Pre-Req,Elective,Catalog code, Catalog ,program code,ProgramSchedule,	Catalog Code,	Term
SSC101,Introduction to Psychology,one,Fall-2021,BBA(H),,
ECO101,Principles of Micro Economics,one,Fall-2021,BBA(H),,
MTH102,Business Mathematics,one,Fall-2021,BBA(H),,
REL101,Islamic Studies,one,Fall-2021,BBA(H),,
COM107,Academic English,one,Fall-2021,BBA(H),,
MAN101,Principles of Management,one,Fall-2021,BBA(H),,
SSC301,History of Ideas,Two,Spring-2022,BBA(H),,
ECO102,Principles of Macro Economics,Two,Spring-2022,BBA(H),,
STA104,Quantitative Techniques in Business,Two,Spring-2022,BBA(H),,
,Foreign Language I,Two,Spring-2022,BBA(H),,
COM205,Persuasive & Analytical Writing for Business Communication,Two,Spring-2022,BBA(H),COM107,
ACC101,Introduction to Financial Accounting,Two,Spring-2022,BBA(H),,
ENT201,Entrepreneurial Society & Social Impact,Three,Fall-2022,BBA(H),,
MKT302,Marketing Management,Three,Fall-2022,BBA(H),,
,Foreign Language II,Three,Fall-2022,BBA(H),,
PSC301,Pakistan Studies,Three,Fall-2022,BBA(H),,
COM202,Business & Professional Speech,Three,Fall-2022,BBA(H),,
ACC201,Intermediate Financial Accounting,Three,Fall-2022,BBA(H),,
MAN302,Organizational Behavior,Four,Spring-2023,BBA(H),,
ENT202,Entrepreneurial Business Operations,Four,Spring-2023,BBA(H),,
MAN501,Supply Chain Management,Four,Spring-2023,BBA(H),,
MIS402,Computer Concepts & Applications,Four,Spring-2023,BBA(H),,
ISF101,Introduction to Islamic Banking & Finance,Four,Spring-2023,BBA(H),,
FIN201,Introduction to Business Finance,Four,Spring-2023,BBA(H),,
HRM301,Human Resource Management,Five,Fall-2023,BBA(H),,
MKT404,Methods in Business Research,Five,Fall-2023,BBA(H),,
SCM400,Introduction to ERP,Five,Fall-2023,BBA(H),,
BDS101,Introduction to Data Sciences,Five,Fall-2023,BBA(H),,
ISF201,Islamic Financial Accounting,Five,Fall-2023,BBA(H),,
FIN202,Financial Management,Five,Fall-2023,BBA(H),,
MAN309,Leadership Journey,Six,Spring-2024,BBA(H),,
,Major 1 (compulsory elective),Six,Spring-2024,BBA(H),,
,Major II (compulsory elctive),Six,Spring-2024,BBA(H),,
